local global safety sl gl sg
26 22 9 ff ff ff
68 26 11 ff ff ff
20 14 12 tf ff tf
53 25 4806 tf ff tf
32 15 26 tt tt tt
14400 1651 1360 tT tT tt
50 9 9 ff ff ff
31 10 23 tf ff tf
474 48 34 tt tt tt
9 10 9 ff ff ff
53 15 11 ff ff ff
11 11 10 tf ff tf
57 11 1405 tf ff tf
20 10 9 tt tt tt
14400 1157 814 tT tT tt
1333 77 55 tt tt tt
14400 14400 14400 MT MT MM
75 11 11 tt tt tt
488 24 18 tt tt tt
725 16 28 tt ft tf
3511 26 59 tt ft tf
3656 144 136 tt tt tt
97 13 13 tt tt tt
14400 14400 14400 MT MT MM
14400 14400 14400 MT MT MM
130 14 13 tt tt tt
21 10 10 tt tt tt
840 31 32 tt tt tt
49 11 11 tt tt tt
14400 416 808 tT fT tf
1905 33 53 tt ft tf
10 9 9 tt tt tt
150 15 15 tt tt tt
10 9 9 tt tt tt
180 16 16 tt tt tt
8 8 7 tf ff tf
8 7 7 tf ff tf
11 7 383 tf ff tf
3 2 2 tt tt tt
14400 1222 1218 tT tT tt
14400 4169 3882 tT tT tt
7668 796 520 tt tt tt
6 2 2 tt tt tt
114 8 8 tt ft tf
3 2 4 tf ff tf
107 7 7 tt ft tf
3 2 4 tf ff tf
12 12 11 tt tt tt
14400 14400 14400 MT TT MT
14400 14400 14400 MT TT MT
8 8 7 tf ff tf
8 8 8 tf ff tf
8 7 8 tt tt tt
8 7 7 tf ff tf
8 8 8 tt tt tt
8 8 8 tf ff tf
44 11 10 tt tt tt
14 7 55 tf ff tf
9 8 11 tf ff tf
